Epoch,Total Rewards
0,41.45977020263672
1,80.6806411743164
2,29.204551696777344
3,84.73771667480469
4,44.25819778442383
5,48.041526794433594
6,97.94525909423828
7,110.41688537597656
8,59.48543167114258
9,73.87309265136719
10,35.751731872558594
11,67.72599792480469
12,34.15190124511719
13,61.25592803955078
14,81.2131576538086
15,85.93064880371094
16,56.30704879760742
17,25.4898681640625
18,43.796024322509766
19,48.07059860229492
20,45.7298583984375
21,87.26183319091797
22,60.325199127197266
23,51.72437286376953
24,39.640708923339844
25,89.54419708251953
26,70.10437774658203
27,81.86389923095703
28,52.7298469543457
29,36.91571044921875
30,84.2885971069336
31,75.11148834228516
32,35.339378356933594
33,94.22064971923828
34,55.280975341796875
35,74.29794311523438
36,50.64643096923828
37,1.68880033493042
38,1.2062814235687256
39,1.2148590087890625
40,1.1102237701416016
41,1.3740626573562622
42,1.5893021821975708
43,1.8836250305175781
44,1.4752559661865234
45,1.555346965789795
46,1.3056302070617676
47,1.524049997329712
48,1.4125597476959229
49,1.1818268299102783
50,0.9365487098693848
51,1.0558342933654785
52,0.9207826256752014
53,0.8996055126190186
54,1.3345478773117065
55,0.9965401887893677
56,20.24447250366211
57,1.3570424318313599
58,1.4405219554901123
59,1.2430578470230103
60,1.2630820274353027
61,1.0137829780578613
62,1.2666139602661133
63,8.964319229125977
64,55.788875579833984
65,92.87427520751953
66,1.0694522857666016
67,0.8820140957832336
68,1.6377370357513428
69,1.496930480003357
70,1.0576159954071045
71,1.3582016229629517
72,1.146974802017212
73,1.5400516986846924
74,1.1780645847320557
75,1.228806972503662
76,1.2993630170822144
77,0.9413676261901855
78,1.5652519464492798
79,0.9727927446365356
80,1.3338370323181152
81,0.8012820482254028
82,1.4782911539077759
83,1.2282884120941162
84,1.1620434522628784
85,15.187829971313477
86,29.77437400817871
87,72.21004486083984
88,54.89207077026367
89,93.40422058105469
90,1.2429993152618408
91,0.8235739469528198
92,1.5700199604034424
93,1.7416454553604126
94,1.209236741065979
95,1.3771785497665405
96,1.1279648542404175
97,0.884517252445221
98,0.8487247824668884
